Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/resources/SearchParameter-us-quality-core-servicerequest-patient.json	960	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-substance-code.json	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-task-code.json	850	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-task-patient.json	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0
input/resources/SearchParameter-us-quality-core-task-status.json	862	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
input/resources/StructureDefinition-us-quality-core-doNotPerformReason.json	9409	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	90	0	0	0	1	0	0
input/resources/StructureDefinition-us-quality-core-encounter-diagnosisPresentOnAdmission.json	2543	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	34	126	0	0	0	0	0	0
input/resources/StructureDefinition-us-quality-core-isElective.json	2113	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	32	89	0	0	0	1	0	0
input/resources/StructureDefinition-us-quality-core-notDoneReason.json	2322	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	33	94	0	0	0	0	0	0
input/resources/StructureDefinition-us-quality-core-recorded.json	2036	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	32	85	0	0	0	1	0	0
input/resources/StructureDefinition-uscdiplusquality.json	9916	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	74	0	0	0	0	0	0
input/resources/adverseevent-example.xml	1616	10	0	0	0	0	0	0	0	1177	0	0	0	0	0	0	0	0	0	0	8	187	0	0	0	0	0	0
input/resources/allergyintolerance-example-refuted.xml	1237	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	22	0	0	0	0	0	0
input/resources/allergyintolerance-example.xml	2760	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	23	0	0	0	0	0	0
